	mean_f	var_f
0	-2.135229297202709e-15	5.126478930179481e-30
1	0.009999999999997868	3.333333333334235e-07
2	0.019999999999997867	1.333333333333516e-06
3	0.029999999999997876	3.0000000000002656e-06
4	0.03999999999999788	5.3333333333336886e-06
5	0.04999999999999787	8.333333333333766e-06
6	0.05999999999999788	1.2000000000000532e-05
7	0.06999999999999787	1.633333333333393e-05
8	0.07999999999999786	2.1333333333334053e-05
9	0.08999999999999787	2.7000000000000812e-05
10	0.0999999999999979	3.3333333333334257e-05
11	0.10999999999999788	4.033333333333428e-05
12	0.11999999999999786	4.800000000000104e-05
13	0.1299999999999979	5.633333333333437e-05
14	0.13999999999999785	6.533333333333438e-05
15	0.14999999999999786	7.50000000000013e-05
16	0.15999999999999787	8.533333333333454e-05
17	0.16999999999999788	9.633333333333476e-05
18	0.17999999999999786	0.00010800000000000151
19	0.18999999999999787	0.00012033333333333465
20	0.19999999999999787	0.000133333333333335
21	0.20999999999999788	0.00014700000000000154
22	0.21999999999999786	0.00016133333333333516
23	0.2299999999999979	0.00017633333333333506
24	0.23999999999999794	0.00019200000000000152
25	0.2499999999999979	0.00020833333333333478
26	0.25999999999999784	0.00022533333333333465
27	0.2699999999999979	0.00024300000000000154
28	0.27999999999999786	0.000261333333333335
29	0.28999999999999787	0.00028033333333333496
30	0.299999999999998	0.0003000000000000018
31	0.3099999999999979	0.0003203333333333353
32	0.3199999999999979	0.00034133333333333503
33	0.32999999999999774	0.0003630000000000016
34	0.3399999999999979	0.00038533333333333464
35	0.34999999999999787	0.0004083333333333343
36	0.35999999999999777	0.0004320000000000015
37	0.3699999999999979	0.00045633333333333414
38	0.37999999999999784	0.00048133333333333464
39	0.3899999999999978	0.0005070000000000006
40	0.3999999999999978	0.0005333333333333343
41	0.4099999999999979	0.0005603333333333343
42	0.41999999999999793	0.0005880000000000005
43	0.42999999999999783	0.0006163333333333342
44	0.43999999999999784	0.0006453333333333337
45	0.4499999999999979	0.0006750000000000001
46	0.45999999999999774	0.0007053333333333341
47	0.4699999999999977	0.0007363333333333338
48	0.4799999999999977	0.0007679999999999996
49	0.48999999999999777	0.0008003333333333312
50	0.4999999999999979	0.0008333333333333326
51	0.5099999999999979	0.0008669999999999986
52	0.5199999999999979	0.0009013333333333314
53	0.529999999999998	0.0009363333333333335
54	0.5399999999999981	0.0009720000000000001
55	0.5499999999999979	0.0010083333333333333
56	0.5599999999999979	0.001045333333333334
57	0.5699999999999981	0.0010830000000000004
58	0.5799999999999982	0.0011213333333333355
59	0.589999999999998	0.0011603333333333353
60	0.5999999999999979	0.0012000000000000018
61	0.6099999999999981	0.0012403333333333335
62	0.619999999999998	0.0012813333333333344
63	0.6299999999999981	0.0013230000000000013
64	0.6399999999999983	0.0013653333333333334
65	0.6499999999999984	0.0014083333333333326
66	0.6599999999999984	0.001452
67	0.6699999999999986	0.0014963333333333315
68	0.6799999999999985	0.0015413333333333342
69	0.6899999999999985	0.0015869999999999994
70	0.6999999999999986	0.0016333333333333343
71	0.7099999999999982	0.0016803333333333332
72	0.7199999999999976	0.0017279999999999973
73	0.7299999999999955	0.001776333333333317
74	0.7399999999999884	0.001825333333333283
75	0.7499999999999658	0.0018749999999998338
76	0.7599999999998951	0.0019253333333328038
77	0.769999999999672	0.001976333333331654
78	0.7799999999989676	0.002027999999994633
79	0.7899999999967414	0.0020803333333161765
80	0.7999999999896963	0.0021333333332783848
81	0.8099999999673647	0.0021869999998237765
82	0.8199999998964432	0.0022413333327672294
83	0.8299999996706812	0.0022963333315111087
84	0.8399999989500319	0.002351999994120189
85	0.8499999966420895	0.002408333314305273
86	0.859999989221776	0.0024653332715391277
87	0.8699999652537224	0.00252299979848087
88	0.8799998874080621	0.002581332672885299
89	0.8899996329102514	0.0026403311561674406
90	0.899998794327936	0.002699992774851048
91	0.9099960047736904	0.002760309183566224
92	0.9199866164249477	0.0028212521217535437
93	0.929954554880194	0.002882726989148826
94	0.939842989924243	0.0029444377186050113
95	0.9494449707437908	0.003005719781539004
96	0.9579748876334027	0.003068366387724979
97	0.9622595750256578	0.003183897849058375
98	0.9481232462813374	0.004008807189217033
99	0.8392717101929086	0.011536185503493826
100	0.0	0.0
